t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
1.55340000e+05,2.279095723635595e+11,3.724301955994713e+09,2.281218808372013e+11,3.829569389633255e+09,-3.942572866598365e+02,2.412667143146870e+04,1.011616283534601e+03,2.476746430824534e+04,2.369728266301381e+08,7.732535584490337e+06
1.55520000e+05,2.279095013558720e+11,3.728644756176968e+09,2.281220628978917e+11,3.834027537999170e+09,-3.947170186140638e+02,2.412666391454378e+04,1.011280270061181e+03,2.476751751076137e+04,2.372507952557387e+08,7.731931440630809e+06
1.55700000e+05,2.279094302654328e+11,3.732987555005389e+09,2.281222448980741e+11,3.838485695927484e+09,-3.951767504249731e+02,2.412665638885869e+04,1.010943972543514e+03,2.476757055708626e+04,2.375287890082459e+08,7.731329195983391e+06
1.55880000e+05,2.279093590922419e+11,3.737330352478397e+09,2.281224268376974e+11,3.842943863390114e+09,-3.956364820923976e+02,2.412664885441345e+04,1.010607391948011e+03,2.476762344773993e+04,2.378068078107103e+08,7.730728844445763e+06
1.56060000e+05,2.279092878362992e+11,3.741673148594418e+09,2.281226087167110e+11,3.847402040359101e+09,-3.960962136161702e+02,2.412664131120806e+04,1.010270529236824e+03,2.476767618323995e+04,2.380848516107851e+08,7.730130379821094e+06
1.56240000e+05,2.279092164976049e+11,3.746015943351873e+09,2.281227905350638e+11,3.851860226806552e+09,-3.965559449961243e+02,2.412663375924252e+04,1.009933385367850e+03,2.476772876410132e+04,2.383629203915524e+08,7.729533796183492e+06
1.56420000e+05,2.279091450761590e+11,3.750358736749186e+09,2.281229722927057e+11,3.856318422704687e+09,-3.970156762320926e+02,2.412662619851682e+04,1.009595961294783e+03,2.476778119083690e+04,2.386410140526247e+08,7.728939087274789e+06
1.56600000e+05,2.279090735719615e+11,3.754701528784779e+09,2.281231539895857e+11,3.860776628025799e+09,-3.974754073239083e+02,2.412661862903099e+04,1.009258257967126e+03,2.476783346395695e+04,2.389191325314623e+08,7.728346247443499e+06
1.56780000e+05,2.279090019850123e+11,3.759044319457077e+09,2.281233356256543e+11,3.865234842742296e+09,-3.979351382714046e+02,2.412661105078501e+04,1.008920276330187e+03,2.476788558396959e+04,2.391972757986034e+08,7.727755270348543e+06
1.56960000e+05,2.279089303153116e+11,3.763387108764502e+09,2.281235172008612e+11,3.869693066826655e+09,-3.983948690744145e+02,2.412660346377889e+04,1.008582017325132e+03,2.476793755138059e+04,2.394754437810399e+08,7.727166150207632e+06
